feature,shap_importance
total_salary,0.2554755225943498
usd_per_year_experience,0.22656221805850216
conversion_rate,0.20836425645561635
cluster_label,0.19431713080955298
base_salary,0.10663285764883021
exp_salary_interaction,0.09407344613033695
experience_level,0.006946638997686184
years_experience,0.000682488452561511
stock_options,0.0004334642234194082
bonus,0.00018124258656229743
bonus_ratio,0.0001799186748836023
salary_in_usd,9.0195483935809e-05
remote_ratio_50,3.961988409877007e-05
remote_ratio_100,2.2562085922288702e-05
employment_type_Part-Time,2.242726589152173e-05
company_location,2.1716943558408503e-05
employment_type_None,1.8118158192994116e-05
employment_type_Full-Time,1.2316235379925429e-05
employment_type_Intern,2.4756923684671604e-06
